"Source:","C:/Users/Matt/Dropbox/Electronics hobby/Drone 2018/ESC schem and pcb layout - alt/ESC.sch"
"Date:","5/27/2018 2:37:08 PM"
"Tool:","Eeschema 4.0.7"
"Generator:","C:/Program Files/KiCad/bin/scripting/plugins/bom_csv_grouped_by_value.py"
"Component Count:","49"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","10n","device:C","Capacitors_SMD:C_0603_HandSoldering",""
"","","C2","10n","device:C","Capacitors_SMD:C_0603_HandSoldering",""
"","","C3","10n","device:C","Capacitors_SMD:C_0603_HandSoldering",""
"","","C4","100n","device:C","Capacitors_SMD:C_0603_HandSoldering",""
"","","C5","10u","device:C","Capacitors_SMD:C_0603_HandSoldering",""
"","","C6","C","device:C","Capacitors_SMD:C_0603_HandSoldering",""
"","","C8","C","device:C","Capacitors_SMD:C_0603_HandSoldering",""
"","","C9","C","device:C","Capacitors_SMD:C_0603_HandSoldering",""
"","","C10","C","device:C","Capacitors_SMD:C_0603_HandSoldering",""
"","","C12","100n","device:C","Capacitors_SMD:C_0603_HandSoldering",""
"","","C13","10u","device:C","Capacitors_SMD:C_0603_HandSoldering",""
"","","C14","1u","device:C","Capacitors_SMD:C_0603_HandSoldering",""
"","","C15","1u","device:C","Capacitors_SMD:C_0603_HandSoldering",""
"","","C17","1u","device:C","Capacitors_SMD:C_0603_HandSoldering",""
"","","D2","D_Schottky","device:D_Schottky","Diodes_SMD:D_0603",""
"","","D3","D_Schottky","device:D_Schottky","Diodes_SMD:D_0603",""
"","","D4","D_Schottky","device:D_Schottky","Diodes_SMD:D_0603",""
"","","J1","Conn_01x05","conn:Conn_01x05","ESC_footprints:Male_header_pins_1x5",""
"","","J2","Conn_01x02","conn:Conn_01x02","ESC_footprints:Wire-to-board_1x2",""
"","","J3","Conn_01x03","conn:Conn_01x03","ESC_footprints:Wire-to-board_1x3",""
"","","J4","Conn_01x04","conn:Conn_01x04","ESC_footprints:Wire_to_board_cluster__4",""
"","","P1","1k","device:POT","ESC_footprints:Potentiometer_Trimmer_Bourns_3223W",""
"","","Q2","Q_Dual_NMOS","ESC:Q_Dual_NMOS","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
